"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(urban):life-stage",55,"52.93"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(marsh):life-stage",51,"53.16"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(gradient, by=pass)",51,"54.10"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(marsh, by=pass)",51,"54.12"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(day of year)",55,"54.36"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(day of year, by=pass)",55,"54.58"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(distance to sea):life-stage",55,"54.78"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(other):life-stage",51,"55.41"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(urban, by=pass)",55,"55.42"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(other, by=pass)",51,"55.44"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(urban, by=pass)",55,"55.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(other) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",55,"55.62"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.62"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"55.65"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(woodland):life-stage",51,"55.91"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(woodland, by=pass)",51,"56.15"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(marsh):life-stage",53,"56.39"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(width, by=pass)",55,"56.73"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(distance to sea, by=pass)",55,"56.78"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(gradient):life-stage",53,"56.81"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage",55,"56.84"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(width):life-stage",55,"56.85"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",59,"56.87"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"57.38"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(woodland) + s(day of year)",55,"57.53"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",55,"57.53"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(marsh, by=pass)",53,"57.60"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(altitude):life-stage",57,"57.67"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",54,"58.37"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(gradient, by=pass)",53,"58.44"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(other) + s(day of year)",55,"58.71"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(other):life-stage",53,"59.42"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(woodland):life-stage",53,"59.60"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(other, by=pass)",53,"60.04"
"life-stage + organisation + year + pass + life-stage:pass + s(distance to sea) + s(day of year) + s(woodland, by=pass)",53,"60.24"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(upstream catchment area, by=pass)",57,"60.55"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",61,"60.56"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",56,"61.15"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(urban) + s(other) + s(day of year)",55,"61.22"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(marsh):life-stage",55,"62.15"
"life-stage + organisation + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage",35,"62.20"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(marsh, by=pass)",55,"63.25"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",56,"63.27"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(gradient):life-stage",55,"63.78"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",55,"63.94"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(day of year):life-stage",59,"63.95"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(day of year)",57,"64.64"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(woodland):life-stage",55,"64.69"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",56,"64.81"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year)",56,"64.86"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(other):life-stage",55,"64.93"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(distance to sea) + s(day of year)",60,"64.95"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(gradient, by=pass)",55,"65.37"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(woodland, by=pass)",55,"65.48"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(upstream catchment area):life-stage",57,"65.48"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(altitude, by=pass)",57,"65.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year) + s(other, by=pass)",55,"65.64"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.92"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(day of year)",57,"66.93"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",57,"66.93"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.93"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.93"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.94"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.94"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"66.94"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"67.04"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"67.14"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"67.14"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"67.16"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",56,"67.65"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",60,"67.72"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(altitude):life-stage",59,"68.57"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(urban):life-stage",57,"69.29"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(urban) + s(day of year)",53,"69.30"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",57,"69.54"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(marsh) + s(day of year)",57,"69.54"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(marsh):life-stage",57,"69.55"
"life-stage + organisation + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage",33,"69.55"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",56,"69.70"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(urban) + s(day of year)",57,"70.24"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(day of year):life-stage",60,"70.57"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",56,"70.64"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(marsh, by=pass)",57,"70.80"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(day of year)",57,"70.82"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(gradient):life-stage",57,"70.93"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(day of year, by=pass)",57,"71.09"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(distance to sea):life-stage",57,"71.28"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(other):life-stage",57,"71.31"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(other):life-stage",57,"71.31"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(urban, by=pass)",57,"71.73"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + width + s(distance to sea) + s(day of year)",58,"71.95"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(other, by=pass)",57,"72.05"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(other, by=pass)",57,"72.06"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(woodland) + s(other) + s(day of year)",57,"72.10"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(gradient, by=pass)",57,"72.32"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",58,"72.74"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(woodland):life-stage",57,"73.07"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(width, by=pass)",57,"73.11"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(distance to sea, by=pass)",57,"73.17"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(width):life-stage",57,"73.19"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.52"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",58,"73.53"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.53"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(marsh) + s(other) + s(day of year)",58,"73.54"
"life-stage + organisation + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage",34,"73.68"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.73"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"73.73"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year) + s(woodland, by=pass)",57,"73.82"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year)",58,"74.51"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",58,"74.99"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(altitude):life-stage",60,"75.26"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",57,"76.43"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(altitude, by=pass)",59,"76.92"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(upstream catchment area, by=pass)",59,"77.14"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(other) + s(day of year)",59,"77.64"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",59,"77.64"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",58,"77.88"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(marsh) + s(other) + s(day of year)",59,"78.56"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",59,"79.23"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(urban) + s(other) + s(day of year)",55,"79.58"
"life-stage + organisation + year + pass + life-stage:pass + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",58,"79.72"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(day of year)",59,"79.77"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(urban):life-stage",59,"80.51"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year)",59,"80.91"
"life-stage + organisation + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",32,"80.97"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(day of year):life-stage",62,"81.52"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(urban) + s(other) + s(day of year)",59,"81.63"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(upstream catchment area):life-stage",59,"81.79"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(woodland) + s(marsh) + s(other) + s(day of year)",59,"81.89"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",62,"82.15"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(woodland):life-stage",59,"82.40"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(woodland):life-stage",59,"82.40"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(day of year, by=pass)",59,"82.49"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(distance to sea):life-stage",59,"82.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(urban, by=pass)",59,"82.93"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(other):life-stage",59,"83.02"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(woodland, by=pass)",59,"83.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(woodland, by=pass)",59,"83.47"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(other, by=pass)",59,"83.50"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(altitude, by=pass)",60,"83.53"
"life-stage + organisation + year + pass + life-stage:pass + upstream catchment area + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.05"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + pass + life-stage:pass + width + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + pass + life-stage:pass + distance to sea + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + pass + life-stage:pass + day of year + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(upstream catchment area) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.06"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(upstream catchment area) + s(urban) + s(woodland) + s(other) + s(day of year)",60,"84.06"
"organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.07"
"life-stage + organisation + year + pass + life-stage:pass + woodland + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.09"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(width, by=pass)",59,"84.17"
"life-stage + organisation + year + pass + life-stage:pass + other + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.25"
"life-stage + organisation + year + pass + life-stage:pass + marsh + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"84.25"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(width):life-stage",59,"84.40"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(distance to sea, by=pass)",59,"84.52"
"life-stage + organisation + year + pass + life-stage:pass + urban + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"85.42"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(urban) + s(woodland) + s(other) + s(day of year)",56,"86.12"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year) + s(altitude):life-stage",62,"86.21"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(marsh):life-stage",59,"86.57"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(gradient):life-stage",59,"86.76"
"life-stage + organisation + year + pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",59,"86.90"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(urban):life-stage",60,"87.14"
"life-stage + organisation + year + pass + hydrometric area + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(day of year)",64,"87.26"
"life-stage + organisation + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",33,"87.72"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(marsh, by=pass)",59,"87.76"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(day of year) + s(gradient, by=pass)",59,"88.15"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(gradient) + s(urban) + s(woodland) + s(other) + s(day of year)",60,"88.17"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",60,"88.17"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(woodland):life-stage",60,"89.02"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(day of year, by=pass)",60,"89.14"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(distance to sea):life-stage",60,"89.19"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(other):life-stage",60,"89.53"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(urban, by=pass)",60,"89.59"
"life-stage + organisation + pass + life-stage:pass + width + s(distance to sea) + s(day of year)",31,"89.76"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(other, by=pass)",60,"89.87"
"life-stage + organisation + pass + life-stage:pass + s(distance to sea) + s(day of year)",33,"89.89"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(other) + s(day of year) + s(upstream catchment area, by=pass)",61,"89.99"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(other) + s(day of year) + s(woodland, by=pass)",60,"90.01"
"life-stage + organisation + year + pass + life-stage:pass + gradient + s(width) + s(altitude) + s(distance to sea) + s(urban) + s(woodland) + s(marsh) + s(other) + s(day of year)",61,"90.29"
