"Model","d.f.","BIC"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(upstream catchment area) + s(day of year) + altitude:life-stage",52,"17.85"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + woodland:pass",53,"17.88"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + woodland + s(day of year) + altitude:life-stage",51,"17.94"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + other + s(day of year) + altitude:life-stage",51,"18.00"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year, by=pass) + s(day of year):life-stage + altitude:life-stage",53,"18.06"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(woodland) + s(day of year):life-stage + altitude:life-stage",53,"18.14"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude):life-stage + s(day of year):life-stage + altitude:life-stage",53,"18.25"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + upstream catchment area:life-stage",53,"18.45"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + gradient:life-stage",51,"18.47"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + woodland:life-stage",53,"18.52"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + distance to sea:pass",51,"18.64"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + other:pass",53,"18.67"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + upstream catchment area:pass",53,"18.82"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + other:life-stage",53,"19.19"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year, by=pass) + s(day of year):life-stage + altitude:life-stage",51,"19.26"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + urban:pass",52,"19.54"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(other) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"19.55"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + woodland:pass",51,"19.55"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(altitude):life-stage + s(day of year):life-stage + altitude:life-stage",51,"19.59"
"life-stage + organisation + year + pass + life-stage:pass + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage",48,"19.65"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + s(distance to sea) + s(day of year)",48,"19.66"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(woodland) + s(day of year) + s(day of year):life-stage + altitude:life-stage",51,"19.69"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + marsh:life-stage",53,"19.83"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(other) + s(day of year):life-stage + altitude:life-stage",53,"20.06"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year):life-stage + altitude:life-stage + marsh:pass",53,"20.36"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + other:pass",51,"20.39"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:pass + altitude:life-stage",50,"20.41"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + upstream catchment area:life-stage",51,"20.42"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + upstream catchment area:pass",51,"20.43"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + woodland:life-stage",51,"20.72"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + gradient + s(distance to sea) + s(day of year) + altitude:life-stage",50,"20.91"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(day of year) + altitude:life-stage + distance to sea:life-stage",50,"21.01"
"life-stage + organisation + year + pass + width + altitude + s(distance to sea) + s(day of year)",47,"21.04"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + marsh:life-stage",51,"21.30"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + other:life-stage",51,"21.41"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(marsh) + s(day of year) + altitude:life-stage",52,"21.80"
"life-stage + organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year) + s(day of year):life-stage",49,"21.83"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(day of year):life-stage + altitude:life-stage + marsh:pass",51,"21.88"
"life-stage + organisation + year + pass + life-stage:pass + width + upstream catchment area + s(distance to sea) + s(day of year)",48,"22.10"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(distance to sea) + s(urban) + s(day of year) + altitude:life-stage",51,"22.30"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(altitude, by=pass) + s(day of year):life-stage + altitude:life-stage",54,"22.32"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + gradient + s(distance to sea) + s(day of year)",49,"22.35"
"life-stage + organisation + year + pass + life-stage:pass + width + day of year + s(distance to sea) + s(day of year)",47,"22.62"
"life-stage + organisation + year + pass + life-stage:pass + width + distance to sea + s(distance to sea) + s(day of year)",47,"22.62"
"life-stage + organisation + year + life-stage:pass + width + s(distance to sea) + s(day of year)",47,"22.62"
"life-stage + organisation + year + pass + life-stage:pass + s(width) + s(distance to sea) + s(day of year)",47,"22.62"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(distance to sea) + s(day of year)",47,"22.62"
"organisation + year + pass + life-stage:pass + width + s(distance to sea) + s(day of year)",47,"22.62"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(distance to sea):life-stage + altitude:life-stage",52,"22.96"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + s(distance to sea):life-stage + s(day of year):life-stage + altitude:life-stage",52,"22.97"
"life-stage + organisation + year + pass + life-stage:pass + width + altitude + distance to sea + s(day of year) + altitude:life-stage + urban:life-stage",52,"23.01"
"life-stage + organisation + year + pass + life-stage:pass + altitude + s(distance to sea) + s(day of year)",50,"23.06"
